ID,PlotId,SubplotId,TreeId,FieldLandUse,DirectionfromCenter,DistancefromCenter,TreeStatus,Species,HeighttoCrownBase,TreeHeightLiveTop,TreeHeightTotal,CrownWidth1,CrownWidth2,CrownLightExposure,CrownPosition,PercentCrownMissing,Transparency,CrownDensity,CrownDieback,PercentImperviousBelow,PercentShrubBelow,TreeSite
145,16,1,4,P,-1,-1,P,ACPA,2,8,8,7.5,15,4,-1,18,-1,-1,3,28,8,N
146,16,1,5,P,-1,-1,P,PIDE,6,14.89999962,14.89999962,7,7,5,-1,43,-1,-1,3,0,0,N
147,16,1,6,P,-1,-1,P,PIHO1,13.60000038,18.89999962,18.89999962,10.19999981,10.19999981,5,-1,33,-1,-1,3,0,0,N
148,16,1,7,P,-1,-1,P,PIHO1,11.19999981,21.60000038,21.60000038,12,7,5,-1,28,-1,-1,3,0,0,N
149,17,1,1,P,-1,-1,I,MACLASS,3.299999952,14.69999981,14.69999981,14.39999962,12,3,-1,28,-1,-1,3,0,0,N
150,17,1,2,P,-1,-1,I,CICA,15.30000019,16.70000076,16.70000076,12,9.600000381,1,-1,8,-1,-1,3,0,0,N
151,17,1,3,P,-1,-1,I,CICA,15.30000019,16.70000076,16.70000076,7.199999809,7.199999809,2,-1,8,-1,-1,3,0,0,N
152,17,1,4,P,-1,-1,I,QUAL2,8,14.69999981,14.69999981,7.199999809,6,3,-1,48,-1,-1,3,0,0,N
153,17,1,5,P,-1,-1,I,CICA,3.299999952,13.30000019,13.30000019,12,8.399999619,4,-1,48,-1,-1,3,0,0,N
154,17,1,6,P,-1,-1,I,QUAL2,10.69999981,13.30000019,13.30000019,9,6,3,-1,38,-1,-1,3,0,0,N
155,18,1,1,R,-1,-1,P,OSFR,0.899999976,2.5,2.5,1.399999976,1.399999976,5,-1,3,-1,-1,3,0,0,N
156,18,1,2,R,-1,-1,P,OSFR,0.899999976,2.5,2.5,1.399999976,1.399999976,4,-1,3,-1,-1,3,0,0,N
157,18,1,3,R,-1,-1,P,NADO,1.700000048,2.299999952,2.299999952,0.699999988,0.699999988,3,-1,8,-1,-1,3,0,0,N
158,18,1,4,R,-1,-1,P,OSFR,1.200000048,2.599999905,2.599999905,1,1,2,-1,18,-1,-1,3,0,0,N
159,20,1,1,V,-1,-1,I,LIJA,0.200000003,3.700000048,3.700000048,1.799999952,0.800000012,1,-1,8,-1,-1,3,0,0,N
160,20,1,2,V,-1,-1,I,MACLASS,2,4.5,4.5,3.599999905,2,1,-1,58,-1,-1,3,0,0,N
161,20,1,3,V,-1,-1,I,CICA,4.5,7,7,3,2,2,-1,63,-1,-1,3,58,0,N
162,20,1,4,V,-1,-1,P,LIJA,0.200000003,4.5,4.5,3,2,4,-1,28,-1,-1,3,0,0,N
163,20,1,5,V,-1,-1,P,MACLASS,0.200000003,4.5,4.5,1.5,2,4,-1,28,-1,-1,3,0,0,N
164,20,1,6,V,-1,-1,P,QUAL2,0.200000003,3.5,3.5,1,1.5,0,-1,28,-1,-1,3,0,0,N
165,20,1,7,V,-1,-1,P,CICA,3,12,12,11.39999962,10,3,-1,58,-1,-1,3,0,0,N
166,20,1,8,V,-1,-1,P,QUAL2,0.5,4,4,3,3,1,-1,18,-1,-1,3,0,0,N
167,20,1,9,V,-1,-1,P,CEDE,4,15,15,11.39999962,20,5,-1,33,-1,-1,3,48,0,N
168,20,1,10,V,-1,-1,P,CEDE,4,15,15,7.800000191,16,0,-1,38,-1,-1,3,43,0,N
169,20,1,11,V,-1,-1,P,QUAL2,2,9,9,3.599999905,3,1,-1,83,-1,-1,3,0,48,N
170,20,1,12,V,-1,-1,P,FAJA,1.700000048,2,2,1,1,0,-1,28,-1,-1,3,0,0,N
171,21,1,1,T,-1,-1,P,GIBI,2.5,6.699999809,6.699999809,2.700000048,4.199999809,5,-1,23,-1,-1,3,78,0,S
172,21,1,2,R,-1,-1,P,MACLASS,2.5,7,7,1.799999952,1.799999952,3,-1,78,-1,-1,3,78,0,N
173,21,1,3,R,-1,-1,P,TE6,2.5,5,5,1.5,1.5,3,-1,43,-1,-1,3,88,0,N
174,21,1,4,R,-1,-1,P,TE6,2,5,5,1.200000048,1.200000048,2,-1,68,-1,-1,3,88,0,N
175,21,1,5,R,-1,-1,P,ILAT,2.5,4.800000191,4.800000191,3,3,3,-1,28,-1,-1,3,78,0,N
176,21,1,6,R,-1,-1,P,POMA,2.5,6,6,2.700000048,2.700000048,3,-1,33,-1,-1,3,78,0,N
177,21,1,7,R,-1,-1,P,MAGR,2.5,7.699999809,7.699999809,3.5,3.5,3,-1,63,-1,-1,3,18,0,N
178,21,1,8,R,-1,-1,P,POMA,2.5,5,5,4,3,3,-1,18,-1,-1,3,78,0,N
179,21,1,9,R,-1,-1,P,MAGR,2.5,7.699999809,7.699999809,3.5,3.5,2,-1,53,-1,-1,3,78,0,N
180,22,1,1,I,-1,-1,P,LILU,1.299999952,2.5,2.5,1.5,1.5,0,-1,48,-1,-1,3,13,58,N
181,22,1,2,I,-1,-1,P,NADO,0.5,2.5,2.5,1.299999952,1.299999952,2,-1,18,-1,-1,3,8,23,N
182,22,1,3,I,-1,-1,P,MACLASS,3,7.5,7.5,8.5,8.5,5,-1,18,-1,-1,3,38,18,N
183,22,1,4,I,-1,-1,P,MACLASS,3,7,7,7,7,5,-1,8,-1,-1,3,58,18,N
184,22,1,5,V,-1,-1,I,LISI,0.300000012,2,2,1.399999976,1.399999976,4,-1,18,-1,-1,3,93,0,N
185,22,1,6,V,-1,-1,I,CESI4,0.600000024,2.5,2.5,0.600000024,0.699999988,4,-1,43,-1,-1,3,93,0,N
186,24,1,1,R,-1,-1,P,RH2,1.600000024,2.200000048,2.200000048,1,0.5,1,-1,78,-1,-1,3,0,0,N
187,24,1,2,R,-1,-1,P,PIHO1,1.5,3,3,1.299999952,1.299999952,5,-1,48,-1,-1,3,18,28,N
188,25,1,1,M,-1,-1,P,QUAL2,0.300000012,2.900000095,2.900000095,1.200000048,1.5,4,-1,8,-1,-1,3,0,78,N
189,25,1,2,M,-1,-1,P,CESI4,1.700000048,3,3,0.5,0.699999988,1,-1,48,-1,-1,3,88,0,N
190,25,1,3,M,-1,-1,P,CESI4,1.700000048,7.699999809,7.699999809,2,5,1,-1,68,-1,-1,3,48,0,N
191,25,1,4,M,-1,-1,P,CESI4,3,8,8,2,5,1,-1,78,-1,-1,3,48,0,N
192,25,1,5,M,-1,-1,P,LILU,2,6.5,6.5,2.5,1.700000048,1,-1,48,-1,-1,3,38,0,N
193,25,1,6,M,-1,-1,P,CESI4,3,6,6,2.5,1.5,1,-1,68,-1,-1,3,38,0,N
194,25,1,7,M,-1,-1,P,CESI4,1.700000048,2.299999952,2.299999952,0.5,0.600000024,0,-1,93,-1,-1,3,78,0,N
195,25,1,8,M,-1,-1,P,LILU,1.799999952,3,3,0.5,0.5,0,-1,93,-1,-1,3,18,0,N
196,25,1,9,M,-1,-1,P,LILU,3,6,6,3.400000095,3,2,-1,68,-1,-1,3,73,8,N
197,25,1,10,M,-1,-1,P,PRX,4,9.5,9.5,2.400000095,2.400000095,3,-1,38,-1,-1,3,73,8,N
198,25,1,11,M,-1,-1,P,LILU,4,7,7,1.799999952,1.799999952,3,-1,63,-1,-1,3,73,0,N
